ms,lr,la,T*,T*_sim,P*_sim,rhov*,rhol*,Hvap*
1.0,7.0,6.0,0.75,0.7503051044827586,8.238062968965518e-05,0.00011,0.915221,9.690469503448275
1.0,7.0,6.0,0.77,0.7701042672413794,0.0001006798748275,0.000131,0.909593,9.652754979310345
1.0,7.0,6.0,0.9,0.9005156934482759,0.0007668834989655,0.00086,0.873697,9.36814411724138
1.0,7.0,6.0,0.92,0.9200682151724138,0.0009236210768965,0.001015,0.867923,9.329977541379307
1.0,7.0,6.0,1.05,1.0501982793103448,0.0031238987172413,0.003057,0.830985,9.019326810344827
1.0,7.0,6.0,1.07,1.0703873586206898,0.0037698029344827,0.003635,0.825303,8.96524844137931
1.0,7.0,6.0,1.2,1.2000724758620689,0.0090710668275862,0.00802,0.787284,8.59728993448276
1.0,7.0,6.0,1.22,1.219895927586207,0.0102791357931034,0.008992,0.781129,8.531762931034482
1.0,7.0,6.0,1.35,1.350219979310345,0.0212541279310344,0.017583,0.740443,8.06675371724138
1.0,7.0,6.0,1.38,1.3804520068965516,0.0243015653448275,0.019873,0.730569,7.949135644827587
1.0,7.0,6.0,1.51,1.510187127586207,0.0430451631724137,0.034333,0.685656,7.333725193103447
1.0,7.0,6.0,1.53,1.5297364275862069,0.0464644293103448,0.036981,0.679169,7.230942606896551
1.0,7.0,6.0,1.66,1.660162579310345,0.0740881457931034,0.059272,0.627142,6.4310887034482755
1.0,7.0,6.0,1.68,1.679923668965517,0.0795227678620689,0.064069,0.619571,6.280520186206896
1.0,7.0,6.0,1.81,1.808517151724138,0.1184543503448275,0.101221,0.555862,5.122093855172414
1.0,7.0,6.0,1.83,1.8298722551724136,0.1253872734482758,0.108511,0.544977,4.914030844827586
1.0,8.0,6.0,0.72,0.7203362824137931,0.0002358459137931,0.000329,0.886853,8.614243475862068
1.0,8.0,6.0,0.74,0.7402609379310344,0.0002813038748275,0.000382,0.880686,8.57074584137931
1.0,8.0,6.0,0.84,0.8402296227586208,0.0010198564965517,0.00123,0.849428,8.335608879310344
1.0,8.0,6.0,0.86,0.86021761,0.0012009847517241,0.001417,0.843269,8.28699076551724
1.0,8.0,6.0,0.97,0.9694547872413796,0.0038647011275862,0.004132,0.808159,7.979368017241379
1.0,8.0,6.0,0.98,0.9803507293103448,0.0041780767862068,0.004426,0.804593,7.959284365517242
1.0,8.0,6.0,1.09,1.0898817206896554,0.0095372162551724,0.009367,0.767793,7.608560624137931
1.0,8.0,6.0,1.11,1.1095642206896552,0.0112773548620689,0.010989,0.761423,7.524631848275861
1.0,8.0,6.0,1.21,1.2099038275862068,0.0204115513448275,0.019008,0.725067,7.134721924137931
1.0,8.0,6.0,1.23,1.2299524000000002,0.022640814275862,0.020929,0.718073,7.046847144827586
1.0,8.0,6.0,1.33,1.3296864344827586,0.0379012646551724,0.034497,0.679169,6.529587989655172
1.0,8.0,6.0,1.35,1.3499614103448276,0.0412533806896551,0.037406,0.670426,6.423275596551724
1.0,8.0,6.0,1.45,1.4498871310344827,0.0633810258965517,0.058222,0.625355,5.755330379310345
1.0,8.0,6.0,1.47,1.470211848275862,0.0671773677931034,0.061455,0.616165,5.632954555172414
1.0,8.0,6.0,1.57,1.568902948275862,0.0968607603448275,0.093311,0.560848,4.723863110344827
1.0,8.0,6.0,1.59,1.590379617241379,0.1053931462068965,0.104663,0.547441,4.457542703448276
1.0,9.0,6.0,0.7,0.7000612262068966,0.0003588678537931,0.000516,0.870205,7.912768072413792
1.0,9.0,6.0,0.72,0.7201969351724137,0.0004324530217241,0.000605,0.863255,7.866529213793102
1.0,9.0,6.0,0.81,0.8101928327586208,0.0014873373655172,0.001871,0.832568,7.623964137931035
1.0,9.0,6.0,0.82,0.8196933751724138,0.0017446663206896,0.002175,0.829221,7.58750245862069
1.0,9.0,6.0,0.91,0.9096107796551725,0.0043998255827586,0.005047,0.797196,7.3180665517241374
1.0,9.0,6.0,0.93,0.9301285344827588,0.0053142730448275,0.006,0.789819,7.256269886206897
1.0,9.0,6.0,1.01,1.0102770586206895,0.0100060231689655,0.010694,0.75987,6.972551548275861
1.0,9.0,6.0,1.03,1.0301850896551723,0.0115467714137931,0.012207,0.751825,6.8933813586206885
1.0,9.0,6.0,1.11,1.1101318,0.0197136103448275,0.020149,0.720533,6.539249948275862
1.0,9.0,6.0,1.13,1.1301592827586209,0.0220021384137931,0.022316,0.711767,6.451929779310345
1.0,9.0,6.0,1.22,1.2199242896551723,0.036255503137931,0.036284,0.671872,5.953951931034483
1.0,9.0,6.0,1.23,1.2296772931034483,0.0383363283448275,0.038429,0.666716,5.885658527586207
1.0,9.0,6.0,1.32,1.3201427137931034,0.0581269306206896,0.058824,0.621558,5.266256006896552
1.0,9.0,6.0,1.34,1.3403976517241378,0.0636520223448275,0.064996,0.610555,5.097845055172414
1.0,9.0,6.0,1.42,1.4200810482758623,0.0879120460689655,0.094333,0.560932,4.322344696551724
1.0,9.0,6.0,1.44,1.4405648482758622,0.094911639,0.103751,0.545518,4.084260755172414
1.0,10.0,6.0,0.69,0.6905698034482759,0.0005769190896551,0.000844,0.858782,7.40707318275862
1.0,10.0,6.0,0.71,0.7097240531034483,0.0008285798393103,0.001183,0.851562,7.348573831034482
1.0,10.0,6.0,0.78,0.7795254820689657,0.0019076697448275,0.002507,0.825144,7.144215424137931
1.0,10.0,6.0,0.8,0.8003008889655172,0.0023949239620689,0.00308,0.817772,7.080083865517241
1.0,10.0,6.0,0.87,0.8700500010344828,0.0051406131793103,0.006215,0.790301,6.846808603448276
1.0,10.0,6.0,0.89,0.8902172837931034,0.0060164272275862,0.007149,0.781988,6.778500517241379
1.0,10.0,6.0,0.96,0.9602149068965518,0.0107881414482758,0.012238,0.752917,6.502175886206896
1.0,10.0,6.0,0.98,0.9798150789655172,0.0126901749310344,0.014269,0.74457,6.411189703448276
1.0,10.0,6.0,1.05,1.0498672413793102,0.0207175337586206,0.02268,0.71341,6.072732751724137
1.0,10.0,6.0,1.07,1.069684475862069,0.0231907239655172,0.02521,0.704002,5.968934072413793
1.0,10.0,6.0,1.14,1.139620024137931,0.0350405877931034,0.03779,0.669678,5.553430631034482
1.0,10.0,6.0,1.15,1.149964179310345,0.0373658064827586,0.040414,0.664636,5.482209524137931
1.0,10.0,6.0,1.23,1.229817572413793,0.0563772811034482,0.062273,0.617753,4.864038131034484
1.0,10.0,6.0,1.24,1.2408484586206896,0.0588357093103448,0.065026,0.613261,4.792022086206897
1.0,10.0,6.0,1.32,1.3194981344827583,0.0842468169655172,0.099343,0.557077,3.953626606896551
1.0,10.0,6.0,1.33,1.3308649689655172,0.0881903467586207,0.105335,0.550473,3.831642368965517
1.0,11.0,6.0,0.68,0.6796790224137931,0.0007993324872413,0.001192,0.852407,7.036211758620689
1.0,11.0,6.0,0.7,0.7003842475862069,0.0010956884827586,0.001591,0.844413,6.977049579310345
1.0,11.0,6.0,0.76,0.7601939779310346,0.0023875480310344,0.003236,0.820013,6.786632706896552
1.0,11.0,6.0,0.78,0.7799297365517242,0.0030834070137931,0.004101,0.811981,6.710754872413793
1.0,11.0,6.0,0.84,0.8402417213793104,0.0056653948551724,0.007134,0.786092,6.496122555172414
1.0,11.0,6.0,0.86,0.8605646372413793,0.0067639394689655,0.008376,0.777373,6.4191529448275855
1.0,11.0,6.0,0.92,0.9201973641379312,0.011669813,0.013954,0.750345,6.156932444827586
1.0,11.0,6.0,0.94,0.9400807796551724,0.0136596183793103,0.01618,0.741278,6.0564446
1.0,11.0,6.0,1.0,1.0005162644827588,0.0210860884827586,0.024436,0.712378,5.747174096551724
1.0,11.0,6.0,1.01,1.009664237241379,0.0223564126206896,0.02583,0.707209,5.692220920689655
1.0,11.0,6.0,1.08,1.079220851724138,0.0346173507241379,0.039788,0.669447,5.249729237931035
1.0,11.0,6.0,1.09,1.0891493448275862,0.0363970364137931,0.041746,0.663552,5.184564606896552
1.0,11.0,6.0,1.16,1.1605271137931037,0.0537332814482758,0.062965,0.620215,4.620890624137931
1.0,11.0,6.0,1.17,1.1691572379310349,0.057064058137931,0.067726,0.613654,4.509227248275862
1.0,11.0,6.0,1.24,1.239527648275862,0.0801348728275862,0.101844,0.5589,3.7282756206896552
1.0,11.0,6.0,1.25,1.2488233103448276,0.082282345137931,0.103926,0.550474,3.648669662068966
1.0,11.0,6.0,1.32,1.3180273827586206,0.1120375706896551,0.168468,0.464291,2.347613899655172
1.0,12.0,6.0,0.67,0.6704594468965517,0.0010660894172413,0.001618,0.849388,6.7554363620689655
1.0,12.0,6.0,0.69,0.68965535,0.0014139312275862,0.002094,0.840721,6.693152068965517
1.0,12.0,6.0,0.69,0.6901822448275863,0.0014639520344827,0.002169,0.840987,6.686029434482759
1.0,12.0,6.0,0.74,0.7395488410344826,0.0027893269586206,0.003907,0.819071,6.517378975862068
1.0,12.0,6.0,0.76,0.7602995920689656,0.0034630067482758,0.004746,0.810322,6.440763396551724
1.0,12.0,6.0,0.76,0.7599557862068965,0.0034016142862068,0.004659,0.81012,6.4462608310344836
1.0,12.0,6.0,0.82,0.8197658565517241,0.0066622567655172,0.008685,0.782505,6.201442413793103
1.0,12.0,6.0,0.83,0.8300137655172415,0.0072390335896551,0.009353,0.778157,6.159241031034482
1.0,12.0,6.0,0.83,0.8303423231034482,0.0071265683137931,0.009192,0.778244,6.161926896551724
1.0,12.0,6.0,0.89,0.890417482413793,0.0122013049999999,0.015165,0.748701,5.887155631034483
1.0,12.0,6.0,0.9,0.8995435603448275,0.0135521894827586,0.016842,0.743963,5.825476124137931
1.0,12.0,6.0,0.9,0.8997178303448274,0.013302314275862,0.016484,0.743934,5.833002413793103
