ms,lr,la,T*,Pl*,Ps*,rhol*,rhos*,dHmelting*,dHmelting*_ave,dUmelting*
1,11,6,0.9,2.7212096075981007,2.5963459535116225,0.906778,0.989605,1.302933656585854,1.170994806784051,0.9254147938015489
1,11,6,1.0,4.105845876030993,4.057815243689078,0.927632,1.007801,1.3141618616733317,1.2644209948654743,0.913968160459885
1,11,6,1.03,4.520905076230942,4.507177825543614,0.933067,1.013048,1.308706970675831,1.294583032497902,0.9126917545613589
1,12,6,0.9,2.7050216395901026,2.5876645363659088,0.900238,0.989043,1.3428961709572613,1.2183672775818435,0.9547679955011246
1,12,6,1.0,4.033918290427393,4.013504223944014,0.919555,1.005691,1.3387675346038492,1.3174979855404962,0.9426775681079738
1,12,6,1.05,4.762530747313171,4.746674253936516,0.929566,1.013644,1.3747695553611599,1.3583985729684782,0.9344169107723062
1,12,6,1.2,6.926852936765808,7.040636680829793,0.954531,1.036215,1.3915281204698828,1.5060167975981227,0.9293863259185207
1,12,6,1.3,8.245972479380157,8.631211062234442,0.97052,1.050317,1.2509493476630849,1.6337145882610282,0.9345729067733073
1,13,6,1.0,3.9706517895526114,3.8769924243939013,0.913449,1.002906,1.4449156024689578,1.3469447771110203,0.9632380529867532
1,13,6,1.08,5.066731559610098,5.025790252436891,0.927337,1.014591,1.4637332227296174,1.421502088166624,0.9534511497125724
1,13,6,1.2,6.757046528367908,6.8133647713071745,0.94597,1.031167,1.4858325118720321,1.5428732878658136,0.9496752961759563
1,13,6,1.3,8.240534088977755,8.345526083479129,0.960807,1.044211,1.531025721069733,1.6359136746539271,0.9468359010247429
1,13,6,1.35,8.995410094976256,9.13494092226943,0.96767,1.050498,1.547761317170706,1.6862758246279506,0.9479734991252187
1,14,6,1.0,3.9258951112221943,3.7905135891027246,0.90883,1.00224,1.5227299829262684,1.3807124051717514,0.9844503199200192
1,14,6,1.11,5.378145233691577,5.339527128217944,0.92603,1.01701,1.5307146723094227,1.4908633650790293,0.9734383254186452
1,14,6,1.2,6.619727530617346,6.652770414896276,0.939233,1.028436,1.5490059910022496,1.582655709634094,0.9696778930267436
1,14,6,1.3,8.054488632841789,8.148730282429394,0.953077,1.040521,1.5865697775556096,1.6812812981239997,0.9666412746813298
1,14,6,1.4,9.559128165458636,9.685189852536865,0.966526,1.052032,1.650780304923769,1.775892510930829,0.9664493551612092
1,15,6,1.0,3.8937221394651336,3.785458480379905,0.905346,1.004301,1.543986109146713,1.4302827623974714,1.0123372631842047
1,15,6,1.14,5.691021249687578,5.733097525618595,0.925366,1.021355,1.5355649077730567,1.5788850142884723,0.998813604098975
1,15,6,1.2,6.51598182704324,6.594548145463635,0.933903,1.028272,1.5555560859785056,1.6358028735027905,0.992214338915272
1,15,6,1.3,7.901742224443889,8.050230542364408,0.946884,1.039339,1.5903015121219704,1.7401382157864593,0.9898546188452895
1,15,6,1.46,10.210937248187955,10.452611259685078,0.965945,1.055983,1.6594288852786807,1.8989361379705774,0.9875114621344667
1,15,6,1.84,16.15163021744564,16.483224418895276,1.006524,1.091279,1.9499568107973015,2.2666070514631578,1.0069843689077729
1,16,6,1.0,3.874179962509373,3.7034208922769305,0.902739,1.004751,1.6336290352334415,1.45406540630328,1.028019185203699
1,16,6,1.17,6.006691009747563,6.045778572856785,0.925222,1.024089,1.6021736945763563,1.6423733701681738,1.0134906098475387
1,16,6,1.2,6.43337168207948,6.470497795551112,0.929672,1.027318,1.632191339665084,1.6702075030093666,1.010256993251688
1,16,6,1.3,7.790786308422894,7.904758837790553,0.941896,1.03773,1.6599000424893773,1.7753162170374783,1.0056883204198948
1,16,6,1.51,10.792137490627344,11.017176205948513,0.965819,1.058044,1.7647627993001747,1.9876083926819335,1.0037675381154707
1,16,6,1.94,17.326709047738063,17.770706948262934,1.006416,1.094494,2.0033563609097733,2.426767883887487,1.0239042789302673
1,16,6,2.8,32.0463727568108,32.469995301174706,1.071825,1.153504,2.8765127718070502,3.2577525385356196,1.1258576693076732
1,17,6,1.19,6.25244688327918,6.207110617345663,0.925289,1.025645,1.7277921664583857,1.6811986897137157,1.022860064983755
1,17,6,1.2,6.370463591602099,6.3491498575356164,0.92631,1.026662,1.7184438240439885,1.6965463461512265,1.0247014346413406
1,17,6,1.3,7.696138035491127,7.764725596100974,0.937863,1.036541,1.734584003999001,1.8042052932604418,1.0194091227193205
1,17,6,1.57,11.457577030742316,11.72613631592102,0.965878,1.060979,1.8281949587603101,2.093781092760652,1.0188545713571613
1,17,6,2.03,18.42959630092477,18.90755571107223,1.006467,1.096858,2.113875681079728,2.5691623405114994,1.040521659585104
1,17,6,2.6,27.720779380154962,28.397436815796052,1.047056,1.134274,2.5352330167458206,3.1566139205408974,1.0953102758135467
1,17,6,2.8,31.205936590852286,31.841525893526622,1.060066,1.146028,2.7721766558360414,3.349256600873261,1.1200066508297926
1,18,6,1.0,3.8625018470382404,3.6825101399650086,0.899435,1.009458,1.7148040565288678,1.5255841289937848,1.0682135266183455
1,18,6,1.2,6.3317503924019,6.3714764408897775,0.92364,1.028899,1.7091365883529117,1.7499284776029083,1.0462489127718064
1,18,6,1.22,6.577757473131718,6.64820593351662,0.925714,1.030732,1.7016731217195709,1.7739016494310835,1.045815938515371
1,18,6,1.3,7.631460932266933,7.758568380404899,0.934596,1.037882,1.728617353161709,1.8578310310435944,1.0389603924018984
1,18,6,1.63,12.134379705073732,12.511190377405649,0.96625,1.064757,1.8414280479879999,2.2133623000500986,1.0337358935266177
