lr,la,rho*,T*,T_ad,P_ad,TotEn_ad,Cv_nvt,ThermalPressureCoeff_nvt,Cp_npt,ThermalExpansionCoeff_npt,IsothermalCompressibility_npt,Cv_npt,JouleThomson_npt,Brown_type,is_fluid,is_solid
11.0,6.0,0.698476819,1.343067061,1.343067061,0.938380059,-2.8760312595000004,,,,,,,,Zeno,True,False
11.0,6.0,0.664388263,1.463338931,1.463338931,0.973206416,-2.4077518395,,,,,,,,Zeno,True,False
11.0,6.0,0.624986809,1.6007653,1.6007653,1.000708288,-1.878319636,,,,,,,,Zeno,True,False
11.0,6.0,0.579789468,1.757792933,1.757792933,1.019600845,-1.2832979975,,,,,,,,Zeno,True,False
11.0,6.0,0.527194406,1.937217553,1.937217553,1.019385762,-0.6111527385,,,,,,,,Zeno,True,False
11.0,6.0,0.466672688,2.142233619,2.142233619,0.99695168,0.1446113755000002,,,,,,,,Zeno,True,False
11.0,6.0,0.405848434,2.347249708,2.347249708,0.950124047,0.8870649020000005,,,,,,,,Zeno,True,False
11.0,6.0,0.344363099,2.552265778,2.552265778,0.876497092,1.6209240140000003,,,,,,,,Zeno,True,False
11.0,6.0,0.290439937,2.731690352,2.731690352,0.79265884,2.255185922,,,,,,,,Zeno,True,False
11.0,6.0,0.242919285,2.888717958,2.888717958,0.701021427,2.8043705379999997,,,,,,,,Zeno,True,False
11.0,6.0,0.202117194,3.02614431,3.02614431,0.611741065,3.2766121779999997,,,,,,,,Zeno,True,False
11.0,6.0,0.164626745,3.146416226,3.146416226,0.518023832,3.696868424,,,,,,,,Zeno,True,False
11.0,6.0,0.132868925,3.251674929,3.251674929,0.43192242,4.0560396995,,,,,,,,Zeno,True,False
11.0,6.0,0.104957296,3.343794602,3.343794602,0.350833691,4.369325717000001,,,,,,,,Zeno,True,False
11.0,6.0,0.081110196,3.424415317,3.424415317,0.277801851,4.6395855335,,,,,,,,Zeno,True,False
11.0,6.0,0.059560876,3.494972334,3.494972334,0.208146524,4.878032868,,,,,,,,Zeno,True,False
11.0,6.0,0.040344479,3.556721992,3.556721992,0.143436393,5.088720683,,,,,,,,Zeno,True,False
11.0,6.0,0.020618598,3.61076364,3.61076364,0.074444469,5.2904388540000005,,,,,,,,Zeno,True,False
12.0,6.0,0.826937864,0.8601164,0.8601164,0.708514578,-4.539061676999999,,,,,,,,Zeno,True,False
12.0,6.0,0.801094708,0.943285464,0.943285464,0.754883427,-4.177605672,,,,,,,,Zeno,True,False
12.0,6.0,0.771705876,1.038317034,1.038317034,0.803822432,-3.771520291,,,,,,,,Zeno,True,False
12.0,6.0,0.738244839,1.146902971,1.146902971,0.849441825,-3.3180197245,,,,,,,,Zeno,True,False
12.0,6.0,0.700099866,1.27097665,1.27097665,0.893970084,-2.809760888,,,,,,,,Zeno,True,False
12.0,6.0,0.65600681,1.412747165,1.412747165,0.925161437,-2.2391132075,,,,,,,,Zeno,True,False
12.0,6.0,0.60531061,1.574738381,1.574738381,0.95295701,-1.5975436584999998,,,,,,,,Zeno,True,False
12.0,6.0,0.546581459,1.759834555,1.759834555,0.960839241,-0.8788716325000001,,,,,,,,Zeno,True,False
12.0,6.0,0.47832191,1.971331138,1.971331138,0.940732994,-0.0691510119999998,,,,,,,,Zeno,True,False
12.0,6.0,0.409103892,2.182827816,2.182827816,0.891795532,0.7266180480000002,,,,,,,,Zeno,True,False
12.0,6.0,0.339629555,2.394324413,2.394324413,0.812138282,1.5066458715000004,,,,,,,,Zeno,True,False
12.0,6.0,0.277741085,2.579420594,2.579420594,0.715652834,2.184635796,,,,,,,,Zeno,True,False
12.0,6.0,0.223962839,2.741411879,2.741411879,0.613639911,2.7666540965,,,,,,,,Zeno,True,False
12.0,6.0,0.177233957,2.88318227,2.88318227,0.510772645,3.267577371,,,,,,,,Zeno,True,False
12.0,6.0,0.135844604,3.007255969,3.007255969,0.408364439,3.7062552645000006,,,,,,,,Zeno,True,False
12.0,6.0,0.099477599,3.115841963,3.115841963,0.309835053,4.0876431655,,,,,,,,Zeno,True,False
12.0,6.0,0.067680982,3.210873518,3.210873518,0.217332482,4.419809020000001,,,,,,,,Zeno,True,False
12.0,6.0,0.041813266,3.294042579,3.294042579,0.137738857,4.6974228575,,,,,,,,Zeno,True,False
12.0,6.0,0.014862981,3.366829957,3.366829957,0.050034233,4.9636947065,,,,,,,,Zeno,True,False
13.0,6.0,0.841681728,0.792363936,0.792363936,0.666336513,-4.590691209,,,,,,,,Zeno,True,False
13.0,6.0,0.826230651,0.838548262,0.838548262,0.693417444,-4.380741989000001,,,,,,,,Zeno,True,False
13.0,6.0,0.808655919,0.891319879,0.891319879,0.720906408,-4.1443740165000005,,,,,,,,Zeno,True,False
13.0,6.0,0.788717532,0.951618277,0.951618277,0.749348331,-3.8784355795,,,,,,,,Zeno,True,False
13.0,6.0,0.765887379,1.020517262,1.020517262,0.782524007,-3.577514821,,,,,,,,Zeno,True,False
13.0,6.0,0.739933944,1.099243244,1.099243244,0.815631309,-3.2401368090000005,,,,,,,,Zeno,True,False
13.0,6.0,0.710112357,1.189197998,1.189197998,0.842900678,-2.860237567,,,,,,,,Zeno,True,False
13.0,6.0,0.675944083,1.291983075,1.291983075,0.873580064,-2.4312518224999997,,,,,,,,Zeno,True,False
13.0,6.0,0.636446958,1.409428456,1.409428456,0.895970472,-1.9488532120000004,,,,,,,,Zeno,True,False
13.0,6.0,0.590892699,1.543625181,1.543625181,0.910431007,-1.4050216055,,,,,,,,Zeno,True,False
13.0,6.0,0.538298653,1.696962528,1.696962528,0.912049839,-0.7939225809999999,,,,,,,,Zeno,True,False
13.0,6.0,0.477085007,1.872170456,1.872170456,0.892137221,-0.1048072239999999,,,,,,,,Zeno,True,False
13.0,6.0,0.414988662,2.04737835,2.04737835,0.847285631,0.5733582039999998,,,,,,,,Zeno,True,False
13.0,6.0,0.353141065,2.222586341,2.222586341,0.784584954,1.2374926595,,,,,,,,Zeno,True,False
13.0,6.0,0.2978164,2.375923646,2.375923646,0.706551207,1.8148399339999997,,,,,,,,Zeno,True,False
13.0,6.0,0.248888713,2.510120373,2.510120373,0.624567258,2.3167619485,,,,,,,,Zeno,True,False
13.0,6.0,0.206230909,2.62756578,2.62756578,0.541809794,2.750678796,,,,,,,,Zeno,True,False
13.0,6.0,0.170392668,2.730350868,2.730350868,0.465000593,3.1175955479999997,,,,,,,,Zeno,True,False
13.0,6.0,0.134972628,2.820305629,2.820305629,0.380350346,3.4600505255,,,,,,,,Zeno,True,False
13.0,6.0,0.107038653,2.899031634,2.899031634,0.310278387,3.739497078,,,,,,,,Zeno,True,False
13.0,6.0,0.082868474,2.967930531,2.967930531,0.245733917,3.9825893365,,,,,,,,Zeno,True,False
13.0,6.0,0.063687135,3.028228989,3.028228989,0.192875686,4.1827113635,,,,,,,,Zeno,True,False
13.0,6.0,0.043713597,3.081000625,3.081000625,0.134703364,4.3760988535,,,,,,,,Zeno,True,False
13.0,6.0,0.024356036,3.127184933,3.127184933,0.076165297,4.5540081255,,,,,,,,Zeno,True,False
14.0,6.0,0.838516525,0.786378421,0.786378421,0.657495005,-4.4127611585,,,,,,,,Zeno,True,False
14.0,6.0,0.812789221,0.859078196,0.859078196,0.698137312,-4.0763753320000005,,,,,,,,Zeno,True,False
14.0,6.0,0.78352092,0.94214721,0.94214721,0.736272779,-3.700203505,,,,,,,,Zeno,True,False
14.0,6.0,0.750275557,1.03706439,1.03706439,0.778709998,-3.2799464059999996,,,,,,,,Zeno,True,False
14.0,6.0,0.711940043,1.145519676,1.145519676,0.815081729,-2.807354306000001,,,,,,,,Zeno,True,False
14.0,6.0,0.667950873,1.269444069,1.269444069,0.848221856,-2.2780954045,,,,,,,,Zeno,True,False
14.0,6.0,0.617173344,1.411043861,1.411043861,0.870646819,-1.6852292524999997,,,,,,,,Zeno,True,False
14.0,6.0,0.557554766,1.572840117,1.572840117,0.873869948,-1.0159834155,,,,,,,,Zeno,True,False
14.0,6.0,0.488703446,1.757713579,1.757713579,0.855490028,-0.2671027604999998,,,,,,,,Zeno,True,False
14.0,6.0,0.418741629,1.94258706,1.94258706,0.811034658,0.4683682319999995,,,,,,,,Zeno,True,False
14.0,6.0,0.347693359,2.127460438,2.127460438,0.737945854,1.192129938,,,,,,,,Zeno,True,False
14.0,6.0,0.285636332,2.289256757,2.289256757,0.653073173,1.8125265044999996,,,,,,,,Zeno,True,False
14.0,6.0,0.23018238,2.430856547,2.430856547,0.559181456,2.3524159145,,,,,,,,Zeno,True,False
14.0,6.0,0.181338702,2.554780898,2.554780898,0.463083729,2.821712781,,,,,,,,Zeno,True,False
14.0,6.0,0.139850919,2.663236232,2.663236232,0.372185586,3.220964189,,,,,,,,Zeno,True,False
14.0,6.0,0.101941847,2.758153432,2.758153432,0.281223231,3.5769296739999996,,,,,,,,Zeno,True,False
14.0,6.0,0.070932624,2.841222427,2.841222427,0.201568174,3.8737792485,,,,,,,,Zeno,True,False
14.0,6.0,0.041692884,2.913922192,2.913922192,0.121482473,4.143979535,,,,,,,,Zeno,True,False
14.0,6.0,0.019816573,2.977547075,2.977547075,0.059004783,4.3584896815,,,,,,,,Zeno,True,False
16.0,6.0,0.850879144,0.734368649,0.734368649,0.624213211,-4.3426268225,,,,,,,,Zeno,True,False
16.0,6.0,0.825252836,0.799999997,0.799999997,0.660541593,-4.0236929975,,,,,,,,Zeno,True,False
16.0,6.0,0.795973765,0.874992414,0.874992414,0.698200916,-3.666235582,,,,,,,,Zeno,True,False
16.0,6.0,0.762363116,0.960681081,0.960681081,0.72960963,-3.2656366935000003,,,,,,,,Zeno,True,False
16.0,6.0,0.72393992,1.058591592,1.058591592,0.767483548,-2.8168413649999997,,,,,,,,Zeno,True,False
16.0,6.0,0.67955855,1.170467109,1.170467109,0.792231307,-2.3140580025000004,,,,,,,,Zeno,True,False
16.0,6.0,0.627925807,1.298299624,1.298299624,0.811116614,-1.7485307570000002,,,,,,,,Zeno,True,False
16.0,6.0,0.568648359,1.444364923,1.444364923,0.819450873,-1.1193853915000005,,,,,,,,Zeno,True,False
16.0,6.0,0.498380757,1.611263649,1.611263649,0.799665203,-0.4069839304999996,,,,,,,,Zeno,True,False
16.0,6.0,0.427558072,1.778162387,1.778162387,0.757587138,0.2883376415000001,,,,,,,,Zeno,True,False
16.0,6.0,0.355751777,1.945061068,1.945061068,0.69039948,0.9707906549999998,,,,,,,,Zeno,True,False
16.0,6.0,0.292476705,2.091126437,2.091126437,0.611832993,1.5579783574999997,,,,,,,,Zeno,True,False
16.0,6.0,0.235821541,2.218958873,2.218958873,0.522804665,2.0693074345,,,,,,,,Zeno,True,False
16.0,6.0,0.186645841,2.33083445,2.33083445,0.434938388,2.5090063689999997,,,,,,,,Zeno,True,False
16.0,6.0,0.141953339,2.428744963,2.428744963,0.344661596,2.8978091945000006,,,,,,,,Zeno,True,False
16.0,6.0,0.104405869,2.514433596,2.514433596,0.262463909,3.227374309,,,,,,,,Zeno,True,False
16.0,6.0,0.072026402,2.589426037,2.589426037,0.186577206,3.5112822825,,,,,,,,Zeno,True,False
16.0,6.0,0.041034201,2.65505742,2.65505742,0.108941574,3.770890355,,,,,,,,Zeno,True,False
16.0,6.0,0.019842806,2.712496233,2.712496233,0.053826229,3.9669681095,,,,,,,,Zeno,True,False
20.0,6.0,0.873783127,0.665698307,0.665698307,0.58661989,-4.2704729015,,,,,,,,Zeno,False,True
20.0,6.0,0.847648915,0.722347685,0.722347685,0.609718988,-3.9703599505,,,,,,,,Zeno,True,False
20.0,6.0,0.818122428,0.787076921,0.787076921,0.6430003,-3.6357984145,,,,,,,,Zeno,True,False
20.0,6.0,0.784318043,0.861038576,0.861038576,0.677274095,-3.26140126,,,,,,,,Zeno,True,False
20.0,6.0,0.745269229,0.945549439,0.945549439,0.705356276,-2.8412321045000004,,,,,,,,Zeno,True,False
20.0,6.0,0.699916041,1.042114097,1.042114097,0.724548467,-2.3692971125,,,,,,,,Zeno,True,False
20.0,6.0,0.647569343,1.152451885,1.152451885,0.742522077,-1.8427004035,,,,,,,,Zeno,True,False
20.0,6.0,0.586347097,1.278527245,1.278527245,0.745072549,-1.2514321565,,,,,,,,Zeno,True,False
20.0,6.0,0.514846009,1.422584816,1.422584816,0.726763841,-0.5893898499999999,,,,,,,,Zeno,True,False
20.0,6.0,0.442421425,1.56664243,1.56664243,0.691122411,0.056017277,,,,,,,,Zeno,True,False
20.0,6.0,0.36887669,1.710700046,1.710700046,0.62975168,0.6874038060000001,,,,,,,,Zeno,True,False
20.0,6.0,0.3027562,1.836775354,1.836775354,0.55574204,1.237104116,,,,,,,,Zeno,True,False
