lr,la,rho*,T*,self_diffusivity,self_diffusivity_std,alpha,author_id
12.0,6.0,0.79073,0.7019000000000001,0.048354999999999995,0.00041933939549999996,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8101100000000001,0.70216,0.04284,0.00028790622000000003,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8293600000000001,0.7023100000000001,0.037420999999999996,0.0003125065131,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8493900000000001,0.7026800000000001,0.032350000000000004,0.000180619755,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8701500000000001,0.70311,0.027451999999999997,0.00020295538119999998,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8899,0.7034400000000001,0.023381,0.00021227376089999998,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.84643,0.7245800000000001,0.034787,0.00023581759429999998,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.76063,0.75172,0.06295,0.000435381085,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.7803800000000001,0.7518800000000001,0.056130000000000006,0.000278994165,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.7999900000000001,0.7518600000000001,0.04995,0.000323621055,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8203100000000001,0.75229,0.043877,0.0003097891708,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8399200000000001,0.7523000000000001,0.038460999999999995,0.00026393861249999996,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.86053,0.75268,0.0332,0.00019247036,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.87999,0.753,0.028539,0.00020610865799999996,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.7307600000000001,0.80166,0.078915,0.000596550051,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.75043,0.8015800000000001,0.071736,0.0005468793959999999,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.7702600000000001,0.80195,0.064569,0.00045217025009999996,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.7900800000000001,0.8019600000000001,0.057741,0.0003846243492,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8104,0.80225,0.051113,0.0004459455911,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.82972,0.8022800000000001,0.045197999999999995,0.00026740040759999997,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8501200000000001,0.8026200000000001,0.039553,0.00021701544509999997,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8706600000000001,0.80261,0.034169,0.0002401226475,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8896100000000001,0.803,0.029481,0.0001566296049,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.9029200000000001,0.8034500000000001,0.02653,0.000264260024,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.70016,0.85143,0.097439,0.0007126396142999999,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.7202700000000001,0.85138,0.089076,0.0006511633751999999,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.74045,0.85155,0.0809,0.0005075989599999999,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.76034,0.85167,0.07308,0.00046087902,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.77988,0.85177,0.06601599999999999,0.00038572488639999994,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8003500000000001,0.85204,0.058733,0.0004325450518,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8201700000000001,0.8520500000000001,0.052254999999999996,0.00032697521149999993,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8396300000000001,0.8523100000000001,0.046488999999999996,0.0003212482878,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8600300000000001,0.8523400000000001,0.040464,0.00020388191039999998,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.87999,0.85274,0.034955,0.0001939128625,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.6603,0.90119,0.12275000000000001,0.0008143971500000001,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.67998,0.9010300000000001,0.11294000000000001,0.000636913836,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.70016,0.9012,0.10397,0.000713993181,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.7197600000000001,0.9011100000000001,0.095131,0.0006433043612999999,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.7399500000000001,0.9015900000000001,0.086536,0.0006166382288,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.7596900000000001,0.90122,0.078566,0.00041163870039999997,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.7801600000000001,0.9016200000000001,0.070589,0.0005423070513999999,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.7999100000000001,0.90197,0.063169,0.0003924121449,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.81988,0.9020800000000001,0.056505,0.0003851211285,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.84035,0.9021100000000001,0.049899,0.00034459251419999997,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8598100000000001,0.9026600000000001,0.043947,0.0002391991263,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8800600000000001,0.9025900000000001,0.038430000000000006,0.00023731677900000003,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.9029200000000001,0.90297,0.032479,0.0002042669268,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.9970300000000001,0.9053700000000001,0.014539,0.0001325055382,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.63021,0.9512200000000001,0.14505,0.00165864675,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.65032,0.9515,0.13442,0.001021605442,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.6702800000000001,0.9516,0.12423000000000001,0.0008740201650000001,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.69047,0.9514100000000001,0.11403,0.000754947018,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.7101400000000001,0.9519400000000001,0.10508,0.00067871172,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.72982,0.95157,0.096208,0.000600386024,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.75007,0.9514600000000001,0.087324,0.0007278368075999999,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.7696000000000001,0.9520900000000001,0.079293,0.0005855391585,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.79,0.9519900000000001,0.07138,0.000399756552,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8102600000000001,0.9522800000000001,0.06385,0.00040763117,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8299300000000001,0.9523,0.057123,0.0003557791809,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8499,0.95213,0.050677,0.0003949410641,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.86972,0.9527700000000001,0.044712999999999996,0.0002388523747,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8898300000000001,0.9526,0.039046,0.0002584884246,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.58015,1.0013,0.18193,0.0016355143139999999,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.60026,0.9931700000000001,0.17037000000000002,0.00175429989,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.61965,1.0011,0.15908,0.0012859231800000002,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.63968,1.0013,0.14725000000000002,0.0011194681250000001,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.6601600000000001,1.0013,0.13625,0.000762196125,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.67998,1.0018,0.12586,0.0007290566359999999,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.70023,0.99765,0.11666000000000001,0.000864112286,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.7201200000000001,1.0021,0.106,0.0005414268,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.74009,1.002,0.096566,0.0005829689419999999,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.7599100000000001,1.0018,0.08832899999999999,0.0005010374195999999,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.78002,1.0017,0.07996199999999999,0.0005101735523999999,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8003500000000001,1.0,0.072741,0.0003291457509,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8203100000000001,1.0021,0.06451699999999999,0.00036534041589999995,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.83999,1.0022,0.05777,0.000365470351,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8599500000000001,1.0022,0.051343,0.0003165706694,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.87999,1.0026,0.045114,0.0003117738312,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.9029200000000001,1.0017,0.039098,0.000651450876,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.9970300000000001,1.0044,0.018667,7.91611469e-05,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.20134000000000002,1.1005,0.75858,0.01883857572,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.29952,1.0977999999999999,0.53602,0.02258734678,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.39959000000000006,1.1003,0.36199000000000003,0.01102187152,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.5059600000000001,1.1017,0.25348000000000004,0.0021710055040000003,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.60026,1.1014,0.18635000000000002,0.001588205145,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.70023,1.102,0.12705000000000002,0.0007321891500000001,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8003500000000001,1.1022,0.080917,0.0004788910811,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.87999,1.1026,0.052135,0.00034545172349999997,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.60026,1.2017,0.20127,0.00127987593,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.70023,1.2015,0.13893,0.0009587698229999999,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8003500000000001,1.2019,0.08945,0.000461731955,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.87999,1.2025000000000001,0.058917,0.0003269186496,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.60026,1.302,0.21575000000000003,0.0013625044000000002,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.70023,1.3019,0.1499,0.00089200993,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8003500000000001,1.3018,0.098337,0.0006064049441999999,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.87999,1.3022,0.065661,0.00042046021349999996,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.60026,1.4015,0.23066000000000003,0.0014174057,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.70023,1.4023,0.16097,0.001055914909,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8003500000000001,1.4021,0.10672000000000001,0.000692047184,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.87999,1.4023,0.072554,0.0005174986603999999,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.20134000000000002,1.4727000000000001,1.0632,0.019171622399999998,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.29952,1.4682,0.6935500000000001,0.01218775415,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.39959000000000006,1.4739,0.48766000000000004,0.005847043400000001,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.5059600000000001,1.4814,0.34016,0.002493236736,0.8888888888888888,Lautenschlaeger 2019
