Repulsive_Exponent,Attractive_Exponent,Temperature,Density,Diffusion_Coefficient,Alpha,Temperature_Critical,Density_Critical
12,6,1.029851,0.585561,0.17095495,0.8888888888888888,1.311912,0.312299
12,6,1.090199,0.544337,0.21252644,0.8888888888888888,1.311912,0.312299
12,6,1.157106,0.588059,0.20970811,0.8888888888888888,1.311912,0.312299
12,6,1.016732,0.692991,0.11985435,0.8888888888888888,1.311912,0.312299
12,6,0.995741,0.730155,0.10017185,0.8888888888888888,1.311912,0.312299
12,7,0.8931889999999999,0.557387,0.15287864,0.7089167433373588,1.102703,0.309144
12,7,0.927373,0.67177,0.12069119,0.7089167433373588,1.102703,0.309144
12,7,0.9571459999999999,0.537292,0.19061289,0.7089167433373588,1.102703,0.309144
12,7,0.8314379999999999,0.587064,0.11651146,0.7089167433373588,1.102703,0.309144
12,7,0.917449,0.566661,0.16279636,0.7089167433373588,1.102703,0.309144
12,8,0.812387,0.6589229999999999,0.10903495,0.6000000000000001,0.978779,0.308052
12,8,0.757575,0.688804,0.08915619,0.6000000000000001,0.978779,0.308052
12,8,0.735063,0.558806,0.09998624,0.6000000000000001,0.978779,0.308052
12,8,0.895583,0.568972,0.17116926,0.6000000000000001,0.978779,0.308052
12,8,0.8466440000000001,0.609943,0.13908785,0.6000000000000001,0.978779,0.308052
13,6,0.9874850000000001,0.713152,0.10723596,0.8407055205206448,1.253153,0.314164
13,6,1.030092,0.582146,0.18247187,0.8407055205206448,1.253153,0.314164
13,6,1.1115469999999998,0.551044,0.22521781,0.8407055205206448,1.253153,0.314164
13,6,0.9824719999999999,0.6735680000000001,0.1286228,0.8407055205206448,1.253153,0.314164
13,6,1.1253309999999999,0.591885,0.20007712,0.8407055205206448,1.253153,0.314164
13,7,0.853459,0.5628380000000001,0.14134957,0.6691696344168355,1.054955,0.308743
13,7,0.796491,0.725237,0.07832007,0.6691696344168355,1.054955,0.308743
13,7,0.8471290000000001,0.590317,0.1299332,0.6691696344168355,1.054955,0.308743
13,7,0.93047,0.617795,0.14878884,0.6691696344168355,1.054955,0.308743
13,7,0.82181,0.732956,0.07872848,0.6691696344168355,1.054955,0.308743
13,8,0.8321280000000001,0.539018,0.16649735,0.5653777751320431,0.938138,0.310137
13,8,0.804922,0.530644,0.15489313,0.5653777751320431,0.938138,0.310137
13,8,0.8612110000000001,0.5508029999999999,0.17606549999999999,0.5653777751320431,0.938138,0.310137
13,8,0.706418,0.687884,0.07466416,0.5653777751320431,0.938138,0.310137
13,8,0.7195520000000001,0.562589,0.09968653,0.5653777751320431,0.938138,0.310137
14,6,1.035564,0.546754,0.20430983,0.8009339165038553,1.204144,0.31586
14,6,0.927191,0.693313,0.1081919,0.8009339165038553,1.204144,0.31586
14,6,0.915149,0.693313,0.10749825,0.8009339165038553,1.204144,0.31586
14,6,1.0018479999999998,0.6734140000000001,0.12878714,0.8009339165038553,1.204144,0.31586
14,6,1.0078690000000001,0.551176,0.18962327,0.8009339165038553,1.204144,0.31586
14,7,0.847191,0.532324,0.15392437,0.6363636363636364,1.015816,0.309131
14,7,0.8695379999999999,0.619189,0.13986809,0.6363636363636364,1.015816,0.309131
14,7,0.7964,0.707292,0.08702031,0.6363636363636364,1.015816,0.309131
14,7,0.7689729999999999,0.619499,0.09731708,0.6363636363636364,1.015816,0.309131
14,7,0.813669,0.66154,0.11055112,0.6363636363636364,1.015816,0.309131
14,8,0.725413,0.540196,0.11582677,0.5368044133844831,0.904505,0.313885
14,8,0.6883279999999999,0.724133,0.06808132,0.5368044133844831,0.904505,0.313885
14,8,0.714559,0.592301,0.0973922,0.5368044133844831,0.904505,0.313885
14,8,0.812245,0.596068,0.14194371,0.5368044133844831,0.904505,0.313885
14,8,0.747121,0.687094,0.09081985,0.5368044133844831,0.904505,0.313885
15,6,0.921383,0.572283,0.14737164,0.7675065622167472,1.163363,0.316528
15,6,0.8876459999999999,0.545378,0.14019355,0.7675065622167472,1.163363,0.316528
