Repulsive_Exponent,Attractive_Exponent,Temperature,Density,Diffusion_Coefficient,Alpha,Temperature_Critical,Density_Critical
12,6,1.196464,0.039037,4.40241464,0.8888888888888888,1.311912,0.312299
12,6,1.065273,0.018425999999999998,8.25791976,0.8888888888888888,1.311912,0.312299
12,6,1.029851,0.018113,8.20775476,0.8888888888888888,1.311912,0.312299
12,6,1.241069,0.009369,19.36795679,0.8888888888888888,1.311912,0.312299
12,6,0.9078430000000001,0.006558,20.27952447,0.8888888888888888,1.311912,0.312299
12,7,0.9902270000000001,0.047608,3.06910461,0.7089167433373588,1.102703,0.309144
12,7,0.9086270000000001,0.014530000000000001,9.28008835,0.7089167433373588,1.102703,0.309144
12,7,0.933989,0.045135,2.9822236,0.7089167433373588,1.102703,0.309144
12,7,0.975892,0.052864,2.71255177,0.7089167433373588,1.102703,0.309144
12,7,0.800562,0.008656,13.84458779,0.7089167433373588,1.102703,0.309144
12,8,0.8192379999999999,0.052369000000000006,2.26864904,0.6000000000000001,0.978779,0.308052
12,8,0.8838370000000001,0.036042000000000005,3.61848402,0.6000000000000001,0.978779,0.308052
12,8,0.7840020000000001,0.015711000000000003,7.53243784,0.6000000000000001,0.978779,0.308052
12,8,0.8623040000000001,0.056682,2.27351538,0.6000000000000001,0.978779,0.308052
12,8,0.913201,0.06099400000000001,2.21043278,0.6000000000000001,0.978779,0.308052
12,8,0.9161370000000001,0.052677,2.58324089,0.6000000000000001,0.978779,0.308052
13,6,1.071446,0.024819,6.25611696,0.8407055205206448,1.253153,0.314164
13,6,0.9135489999999999,0.020106,6.5606505,0.8407055205206448,1.253153,0.314164
13,6,1.186736,0.104617,1.63274703,0.8407055205206448,1.253153,0.314164
13,6,1.141622,0.058749,2.7453828,0.8407055205206448,1.253153,0.314164
13,6,1.149141,0.059063,2.78715045,0.8407055205206448,1.253153,0.314164
13,7,0.971614,0.10065,1.40495121,0.6691696344168355,1.054955,0.308743
13,7,0.9884930000000001,0.084287,1.71230812,0.6691696344168355,1.054955,0.308743
13,7,0.9410200000000001,0.032109,4.35893982,0.6691696344168355,1.054955,0.308743
13,7,0.752183,0.014819999999999998,7.69204245,0.6691696344168355,1.054955,0.308743
13,7,0.944185,0.047546,2.88446835,0.6691696344168355,1.054955,0.308743
13,8,0.8893549999999999,0.042179,3.06142304,0.5653777751320431,0.938138,0.310137
13,8,0.869654,0.024501,5.38212157,0.5653777751320431,0.938138,0.310137
13,8,0.716737,0.013956,7.97403198,0.5653777751320431,0.938138,0.310137
13,8,0.77584,0.034115,3.42548972,0.5653777751320431,0.938138,0.310137
13,8,0.863087,0.080325,1.59530162,0.5653777751320431,0.938138,0.310137
14,6,1.063259,0.004422,35.528773,0.8009339165038553,1.204144,0.31586
14,6,0.891067,0.014530000000000001,9.08166931,0.8009339165038553,1.204144,0.31586
14,6,0.9452530000000001,0.018636,7.38007886,0.8009339165038553,1.204144,0.31586
14,6,0.869392,0.008212,15.38586153,0.8009339165038553,1.204144,0.31586
14,6,1.105404,0.078965,1.98153783,0.8009339165038553,1.204144,0.31586
14,7,0.962994,0.07079099999999999,2.01508454,0.6363636363636364,1.015816,0.309131
14,7,0.9193129999999999,0.005255,26.89066573,0.6363636363636364,1.015816,0.309131
14,7,0.900013,0.013602000000000001,10.0594613,0.6363636363636364,1.015816,0.309131
14,7,0.8329690000000001,0.043278,2.8486392000000005,0.6363636363636364,1.015816,0.309131
14,7,0.949788,0.01762,8.17177968,0.6363636363636364,1.015816,0.309131
14,8,0.7769699999999999,0.055558,2.08649804,0.5368044133844831,0.904505,0.313885
14,8,0.773352,0.03955,2.99706492,0.5368044133844831,0.904505,0.313885
14,8,0.625013,0.008789,11.42281513,0.5368044133844831,0.904505,0.313885
14,8,0.7181770000000001,0.023541,4.72446116,0.5368044133844831,0.904505,0.313885
14,8,0.8538530000000001,0.069996,1.82987171,0.5368044133844831,0.904505,0.313885
15,6,0.948141,0.039883,3.49012191,0.7675065622167472,1.163363,0.316528
15,6,1.087744,0.080398,1.9457569,0.7675065622167472,1.163363,0.316528
15,6,0.8853190000000001,0.013927000000000002,9.33459411,0.7675065622167472,1.163363,0.316528
15,6,0.933017,0.015826,8.78471959,0.7675065622167472,1.163363,0.316528
15,6,1.104031,0.100656,1.5976799,0.7675065622167472,1.163363,0.316528
15,7,0.812109,0.026226999999999997,4.62449525,0.6087922123837141,0.983183,0.312221
15,7,0.925175,0.022168,6.27383076,0.6087922123837141,0.983183,0.312221
15,7,0.847504,0.012489,10.32730278,0.6087922123837141,0.983183,0.312221
15,7,0.878966,0.039652,3.34852758,0.6087922123837141,0.983183,0.312221
15,7,0.856352,0.052453,2.41250435,0.6087922123837141,0.983183,0.312221
15,8,0.700781,0.010138,10.90729663,0.5127922612594963,0.875976,0.316816
15,8,0.777867,0.005069,24.68155888,0.5127922612594963,0.875976,0.316816
15,8,0.8094020000000001,0.028513,4.40677673,0.5127922612594963,0.875976,0.316816
15,8,0.706037,0.014256999999999999,7.79818113,0.5127922612594963,0.875976,0.316816
15,8,0.804146,0.070967,1.73433984,0.5127922612594963,0.875976,0.316816
15,9,0.682553,0.050964999999999996,2.0610395,0.4482619613665991,0.803003,0.322564
15,9,0.736354,0.013225,9.31463449,0.4482619613665991,0.803003,0.322564
15,9,0.71387,0.038063,3.00171583,0.4482619613665991,0.803003,0.322564
15,9,0.7427779999999999,0.060319000000000005,1.87757521,0.4482619613665991,0.803003,0.322564
15,9,0.6865680000000001,0.011935,9.51372036,0.4482619613665991,0.803003,0.322564
